play_id,game_id,Number,Kicker,Yards,Outcome,hash,make_x,make_y,posteam,defteam,game_date,qtr,quarter_seconds_remaining,yardline_100,desc
1766,2022_09_PHI_HOU,4,J. Elliott,54,No Good,-9.25,18.3,11.7,PHI,HOU,2022-11-03,2,3,36,"(:03) 4-J.Elliott 54 yard field goal is No Good, Wide Right, Center-45-R.Lovato, Holder-8-A.Siposs."
2522,2022_09_PHI_HOU,7,K. Fairbairn,30,Good,-9.25,2.7,30.9,HOU,PHI,2022-11-03,3,78,12,"(1:18) 7-K.Fairbairn 30 yard field goal is GOOD, Center-46-J.Weeks, Holder-11-C.Johnston."
829,2022_09_BUF_NYJ,6,G. Zuerlein,53,Good,9.25,-7.4,24.4,NYJ,BUF,2022-11-06,1,35,35,"(:35) 6-G.Zuerlein 53 yard field goal is GOOD, Center-42-T.Hennessy, Holder-7-B.Mann."
1914,2022_09_BUF_NYJ,2,T. Bass,55,No Good,9.25,9.5,13.2,BUF,NYJ,2022-11-06,2,4,37,"(:04) 2-T.Bass 55 yard field goal is No Good, Wide Right, Center-69-R.Ferguson, Holder-8-S.Martin."
2791,2022_09_BUF_NYJ,2,T. Bass,51,Good,-9.25,1.5,18.2,BUF,NYJ,2022-11-06,4,818,33,"(13:38) 2-T.Bass 51 yard field goal is GOOD, Center-69-R.Ferguson, Holder-8-S.Martin."
3422,2022_09_BUF_NYJ,6,G. Zuerlein,28,Good,9.25,0.4,24.5,NYJ,BUF,2022-11-06,4,105,10,"(1:45) 6-G.Zuerlein 28 yard field goal is GOOD, Center-42-T.Hennessy, Holder-7-B.Mann."
3537,2022_09_CAR_CIN,2,E. McPherson,48,No Good,9.25,-14.7,25.1,CIN,CAR,2022-11-06,4,231,30,"(3:51) 2-E.McPherson 48 yard field goal is No Good, Wide Left, Center-48-C.Adomitis, Holder-10-K.Huber."
3344,2022_09_GB_DET,2,M. Crosby,25,Good,9.25,1.4,20.4,GB,DET,2022-11-06,4,399,7,"(6:39) 2-M.Crosby 25 yard field goal is GOOD, Center-56-J.Coco, Holder-16-P.O'Donnell."
850,2022_09_IND_NE,6,N. Folk,49,Good,9.25,-0.1,19.9,NE,IND,2022-11-06,2,815,31,"(13:35) 6-N.Folk 49 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey."
1147,2022_09_IND_NE,6,N. Folk,43,Good,-9.25,4.2,16.1,NE,IND,2022-11-06,2,535,24,"(8:55) 6-N.Folk 43 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey."
1973,2022_09_IND_NE,7,C. McLaughlin,39,No Good,-9.25,-12.6,24.7,IND,NE,2022-11-06,2,21,21,"(:21) 7-C.McLaughlin 39 yard field goal is No Good, Wide Left, Center-46-L.Rhodes, Holder-6-M.Haack."
2352,2022_09_IND_NE,7,C. McLaughlin,40,Good,1.5,-1,26.9,IND,NE,2022-11-06,3,484,22,"(8:04) 7-C.McLaughlin 40 yard field goal is GOOD, Center-46-L.Rhodes, Holder-6-M.Haack."
2587,2022_09_IND_NE,6,N. Folk,43,Good,1,-6.3,19.6,NE,IND,2022-11-06,3,262,25,"(4:22) 6-N.Folk 43 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey."
3204,2022_09_IND_NE,6,N. Folk,28,Good,9.25,7,24,NE,IND,2022-11-06,4,613,10,"(10:13) 6-N.Folk 28 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey."
466,2022_09_LA_TB,3,R. Succop,20,Good,0,0.1,22,TB,LA,2022-11-06,1,439,2,"(7:19) 3-R.Succop 20 yard field goal is GOOD, Center-97-Z.Triner, Holder-5-J.Camarda."
1710,2022_09_LA_TB,3,R. Succop,52,Blocked,-9.25,,,TB,LA,2022-11-06,2,183,34,"(3:03) 3-R.Succop 52 yard field goal is BLOCKED (45-B.Wagner), Center-97-Z.Triner, Holder-5-J.Camarda, RECOVERED by LA-45-B.Wagner at LA 40."
2081,2022_09_LA_TB,3,R. Succop,38,Good,-9.25,-2.3,28.6,TB,LA,2022-11-06,2,28,20,"(:28) 3-R.Succop 38 yard field goal is GOOD, Center-97-Z.Triner, Holder-5-J.Camarda."
2517,2022_09_LA_TB,8,M. Gay,26,Good,9.25,0.4,29.2,LA,TB,2022-11-06,3,557,8,"(9:17) 8-M.Gay 26 yard field goal is GOOD, Center-42-M.Orzech, Holder-11-R.Dixon."
2983,2022_09_LA_TB,8,M. Gay,35,Good,-9.25,-5.3,33,LA,TB,2022-11-06,3,13,16,"(:13) 8-M.Gay 35 yard field goal is GOOD, Center-42-M.Orzech, Holder-11-R.Dixon."
3507,2022_09_LA_TB,3,R. Succop,50,Good,-9.25,0.9,15,TB,LA,2022-11-06,4,493,32,"(8:13) 3-R.Succop 50 yard field goal is GOOD, Center-97-Z.Triner, Holder-5-J.Camarda."
657,2022_09_LAC_ATL,7,Y. Koo,29,Good,9.25,1.8,19.9,ATL,LAC,2022-11-06,1,56,11,"(:56) 7-Y.Koo 29 yard field goal is GOOD, Center-48-L.McCullough, Holder-13-B.Pinion."
2908,2022_09_LAC_ATL,7,Y. Koo,50,No Good,-9.25,9.7,10.7,ATL,LAC,2022-11-06,4,737,32,"(12:17) 7-Y.Koo 50 yard field goal is No Good, Wide Right, Center-48-L.McCullough, Holder-13-B.Pinion."
3264,2022_09_LAC_ATL,15,C. Dicker,31,Good,-9.25,6.5,27,LAC,ATL,2022-11-06,4,331,13,"(5:31) 15-C.Dicker 31 yard field goal is GOOD, Center-47-J.Harris, Holder-16-J.Scott."
3831,2022_09_LAC_ATL,15,C. Dicker,37,Good,-5.5,2.1,26.1,LAC,ATL,2022-11-06,4,3,19,"(:03) 15-C.Dicker 37 yard field goal is GOOD, Center-47-J.Harris, Holder-16-J.Scott."
972,2022_09_LV_JAX,2,D. Carlson,38,Good,-9,-0.4,30,LV,JAX,2022-11-06,2,852,19,"(14:12) 2-D.Carlson 38 yard field goal is GOOD, Center-47-T.Sieg, Holder-6-A.Cole."
1720,2022_09_LV_JAX,2,D. Carlson,38,Good,-9,2.8,29.2,LV,JAX,2022-11-06,2,50,20,"(:50) 2-D.Carlson 38 yard field goal is GOOD, Center-47-T.Sieg, Holder-6-A.Cole."
1946,2022_09_LV_JAX,10,R. Patterson,44,Good,1,-4,27,JAX,LV,2022-11-06,2,3,26,"(:03) 10-R.Patterson 44 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke."
3533,2022_09_LV_JAX,10,R. Patterson,41,No Good,-9.25,9.25,28.3,JAX,LV,2022-11-06,4,188,23,"(3:08) 10-R.Patterson 41 yard field goal is No Good, Hit Right Upright, Center-46-R.Matiscik, Holder-9-L.Cooke. LV-99-C.Ferrell was injured during the play. His return is Questionable."
3753,2022_09_LV_JAX,10,R. Patterson,48,Good,-9.25,6.4,20.3,JAX,LV,2022-11-06,4,68,30,"(1:08) 10-R.Patterson 48 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke."
263,2022_09_MIA_CHI,2,C. Santos,32,Good,9.25,0.4,26.2,CHI,MIA,2022-11-06,1,667,14,"(11:07) 2-C.Santos 32 yard field goal is GOOD, Center-48-P.Scales, Holder-16-T.Gill."
1815,2022_09_MIA_CHI,7,J. Sanders,29,No Good,9.25,-10.4,34.8,MIA,CHI,2022-11-06,2,12,11,"(:12) 7-J.Sanders 29 yard field goal is No Good, Wide Left, Center-44-B.Ferguson, Holder-4-T.Morstead."
